Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239576017,80,52.69,58.4,61.4,0.998072724918409,0.00398122588590266
239576118,81,52.67,58,61.42,1.00457452523636,-0.00250719426680046
239576220,82,52.58,58.3,61.42,0.997697451832627,0.00435572669083129
239576320,83,52.3,58.2,61.42,0.994089622688629,0.0079561312219858
239576422,84,52.55,57.8,61.42,1.00575388295075,-0.00368412496092119
239576566,85,52.5,57.9,61.42,1.0030615329143,-0.000997315557324407
239576676,86,52.58,58.1,61.44,1.00113186646888,0.000928379794758571
239576730,87,52.58,58.7,61.46,0.990898832058639,0.0111403554697695
239576863,88,52.25,57.7,61.48,1.00174530956089,0.000316199117707527
239576960,89,52.5,58.2,61.5,0.997891112641549,0.00416246441977541
239577061,90,52.13,57.8,61.5,0.997715507482824,0.00433770819766277
239577165,91,52.61,58.1,61.48,1.00170307141362,0.000358350342378078
239577278,92,52.53,58.3,61.46,0.996748709485886,0.00530251660459036
239577352,93,52.13,57.1,61.44,1.00994669584076,-0.00786830939010641
239577453,94,52.58,58,61.42,1.00285795589383,-0.000794157481457392
239577554,95,52.58,58.3,61.4,0.997697451832627,0.00435572669083129
239577656,96,52.58,58.1,61.43,1.00113186646888,0.000928379794758571
239577758,97,52.47,57.9,61.46,1.0024883548955,-0.000425317091291566
239577866,98,52.61,58.1,61.49,1.00170307141362,0.000358350342378078
239577962,99,52.53,58.1,61.52,1.00017985822766,0.00187842888205891
239578061,100,52.5,58.4,61.55,0.994473677324284,0.0075728669388857
